"Month_Day","2021","Mean","Median","Maximum","Minimum"
"01-01",37.57464179,36.9619627272733,36.44704,40.2170000000067,34.1998
"01-02",35.95859072,36.2260000000002,35.9190000000022,42.43354,31.78064
"01-03",39.14746726,36.4146654545455,35.56288,41.04897,33.38932
"01-04",37.9630674,36.3741972727362,36.19223,39.2959999999978,34.74012
"01-05",40.55096688,36.9979654545361,35.82997,42.3659999999978,33.96955
"01-06",42.53487456,36.5846318181822,36.21986,40.524,31.54425
"01-07",41.66243889,35.7040999999992,35.69489,41.24238,31.48285
"01-08",40.18150773,36.3543818181826,35.07475,41.48184,33.49063
"01-09",37.90217088,36.3387527272723,36.29047,38.49166,35.02563
"01-10",38.30979013,36.5865854545457,36.18302,39.26223,34.7831
"01-11",36.41213717,35.7758263636366,35.72252,40.34287,32.8490000000022
"01-12",34.47791744,35.6309781818174,35.74401,39.28372,31.3139999999911
"01-13",33.90091401,35.7627090909092,35.84532,38.48859,33.65641
"01-14",29.48144332,35.6366995454554,35.71638,39.37582,32.56963
"01-15",33.33406,35.6165212727267,35.94663,40.2169999999955,30.41756
"01-16",28.45510855,36.4225637272727,35.90672,43.5979910000023,32.77532
"01-17",27.2584686,35.9935172727279,36.78781,39.39731,31.59337
"01-18",33.00485776,35.9946336363632,35.81155,39.12408,31.88195
"01-19",32.30169882,36.3507536363636,35.98961,39.91,31.2526
"01-20",33.96610546,36.5112309090909,36.6251,39.89465,32.96259
"01-21",33.21061223,37.0409454545455,36.09092,44.96936,32.6955
"01-22",32.46760162,36.1539945454541,36.06329,40.01438,31.76836
"01-23",36.3585626,35.8645772727281,35.7317299999999,38.5899,32.80909
"01-24",36.95139802,35.0610745454537,35.9189999999911,38.44561,29.73909
"01-25",37.75324518,35.6759118181824,36.46239,37.28822,30.26713
"01-26",38.59128457,36.1442263636358,36.10627,40.74504,31.8972999999933
"01-27",34.16270212,36.0725000000006,36.08478,40.31524,30.42063
"01-28",32.1728018,36.3317754545457,36.20144,39.31442,34.29497
"01-29",37.46413407,35.0621909090907,35.8576,38.89997,29.02071
"01-30",36.42004856,35.4107754545454,36.00189,39.94991,30.07372
"01-31",36.44178723,36.4958809090905,36.42248,39.47099,33.58273
"02-01",40.57840347,35.5176672727271,35.94049,39.96526,30.60176
"02-02",34.33469273,35.5729272727279,35.6120000000067,40.66215,30.79517
"02-03",35.65556023,36.0074718181812,36.32424,39.6029999999933,31.54425
"02-04",39.69385665,36.0046809090911,35.92514,40.36129,31.3140000000022
"02-05",33.14304767,36.1763218181816,35.69796,42.32302,31.6209999999978
"02-06",33.76062729,35.5684618181826,36.16767,39.12408,31.6210000000089
"02-07",40.33578444,35.1141018181814,34.92739,39.67054,30.39607
"02-08",37.40900301,34.5788054545459,34.37479,39.39117,30.3930000000045
"02-09",35.71084786,35.0278627272719,36.20758,38.9214599999999,26.7089999999911
"02-10",38.79710965,35.9150927272727,35.89137,39.18548,33.29415
"02-11",32.66087654,35.6881918181818,35.71331,40.7696,31.81441
"02-12",39.3410676,35.5433436363636,35.59665,39.33898,32.94417
"02-13",38.80935281,35.7191709090915,36.19837,38.53464,31.0070000000067
"02-14",35.88565059,35.6734,35.82997,39.13636,32.235
"02-15",38.53947525,36.136411818182,35.80234,40.49637,29.7790000000022
"02-16",40.7964318,35.5773927272725,35.92514,39.46485,31.6209999999978
"02-17",37.15714635,36.6398918181812,35.94356,39.59379,34.22129
"02-18",36.58309319,36.3753136363642,36.39178,39.5109,31.24032
"02-19",40.63058426,35.717775454545,35.85146,37.9452,32.35473
"02-20",37.81746344,34.6382518181824,35.51376,37.71495,29.4720000000067
"02-21",35.60029716,35.0747499999996,35.1515,37.43251,32.63103
"02-22",43.13057429,35.6290245454549,36.29968,39.01663,31.84511
"02-23",37.32606389,35.3354209090901,36.92903,39.60914,29.7789999999911
"02-24",36.74894073,35.267601818182,35.60893,38.24606,32.06615
"02-25",36.77019434,35.2796027272729,35.72252,37.76714,31.93414
"02-26",36.9022903,35.8045727272729,36.10013,38.28597,33.02092
"02-27",36.11311917,34.9717654545451,35.59665,38.97979,27.9369999999955
"02-28",36.65350671,37.1718390909095,37.34348,45.52196,30.3930000000045
NA,NA,35.2671366666667,36.18302,36.47467,33.14372
"03-01",39.20267814,35.9416063636362,36.06022,39.28372,31.14208
"03-02",39.84468882,35.6644690909089,36.84921,39.24688,30.43598
"03-03",36.96064486,35.4911536363634,36.12469,39.27144,27.27388
"03-04",35.59400673,36.0180772727275,36.46546,40.88012,25.76037
"03-05",33.56101282,34.6703751818181,35.21904,39.98061,26.92083
"03-06",37.50124423,36.4729675454544,36.0663600000045,39.40038,32.8489999999911
"03-07",36.71804425,35.9471881818175,36.84,39.98368,30.1412599999983
"03-08",41.01163573,35.1791300000008,36.01724,40.60075,26.5708499999994
"03-09",31.23617857,36.1939045454547,37.46321,40.29068,27.63
"03-10",33.1737753,36.4428536363633,37.64127,39.98982,27.7190300000011
"03-11",39.55297128,35.3158845454548,35.99268,41.4143,22.9912299999983
"03-12",42.21875359,36.1112936363633,37.26366,41.4235100000022,24.9775199999994
"03-13",34.68789623,35.5196209090913,37.0242,40.93231,28.2440000000022
"03-14",34.65739885,36.7712040909095,38.52543,46.0039500000017,28.4466199999989
"03-15",35.00749244,37.6038718181818,38.8662,41.97918,31.6209999999978
"03-16",30.43120615,37.6189427272719,37.5000499999989,43.59707,31.6209999999978
"03-17",34.15354738,37.7353236363644,37.1101600000045,51.0848,27.14801
"03-18",38.19539886,37.9683645454542,36.49923,53.98595,25.1463700000006
"03-19",38.38265965,37.4403245454548,38.1416800000011,51.34882,27.3230000000017
"03-20",34.14741966,36.5695609090912,37.2698000000089,47.97796,26.095
"03-21",34.75552526,35.6287454545453,36.2075800000011,43.3729600000022,27.63
"03-22",35.87038348,35.8419709090929,37.78249,40.91082,24.56
"03-23",36.80404109,34.8163118181795,36.38871,41.2393099999978,26.9546
"03-24",36.77025881,37.5455418181815,36.2259999999978,52.0364999999978,30.7
"03-25",36.80711416,38.4553781818201,39.5999300000017,48.9603600000022,25.9875500000011
"03-26",36.06694637,34.9206918181805,35.2098299999933,44.2110699999977,24.0288899999989
"03-27",33.4870995,36.9899276363649,38.5714800000067,45.7429999999989,28.2747000000022
"03-28",34.02149747,38.1213063636348,36.5422099999933,44.7544599999955,31.0069999999983
"03-29",40.21927487,38.3325781818187,37.7609999999978,54.47101,30.2180099999994
"03-30",39.96445566,38.2097781818189,36.8983299999983,62.9810500000033,28.1304100000006
"03-31",33.95703054,37.9987854545447,36.84,51.7602000000011,28.8580000000017
"04-01",37.20331608,39.8424600000008,38.375,64.6296399999989,28.5509999999978
"04-02",44.3404428699998,39.1391509090909,37.4539999999994,52.8039999999966,29.165
"04-03",50.8240741100001,38.5770618181814,38.0680000000045,49.4546300000022,29.165
"04-04",49.7218612199999,35.1495463636358,35.1821999999978,40.3612899999994,28.8579999999933
"04-05",43.1753134,36.7872518181813,35.6120000000011,44.50272,29.165
"04-06",41.29675891,39.8793000000008,41.7919100000022,45.8381700000067,30.7
"04-07",40.9621626800002,40.8329536363636,39.91,49.0156199999999,27.3721199999989
"04-08",40.59665155,41.8396345454542,41.7704200000011,56.2178399999989,28.6001200000006
"04-09",35.9613107399997,42.2049645454536,41.445,56.2485399999978,30.3929999999989
"04-10",39.5469694300001,43.4700836363637,42.0190900000005,77.7815200000022,28.5509999999978
"04-11",40.9346524100002,45.2146809090915,43.2870000000067,63.9665200000011,30.7
"04-12",43.3291910099999,44.4223418181839,42.6730000000045,60.1443700000089,31.6210000000089
"04-13",40.3298286399998,42.0174154545433,39.0596099999986,57.1019999999997,32.8489999999911
"04-14",40.1394794300003,44.3941536363649,41.445,65.6980000000003,34.6910000000006
"04-15",38.62596943,42.2016154545442,42.3660000000006,55.26,30.7
"04-16",36.4493056599997,43.4921318181823,44.6377999999999,66.3119999999997,31.9280000000045
"04-17",37.07561943,42.9774881818182,42.98,64.47,29.4719999999955
"04-18",37.1953310100001,46.3430454545463,44.8219999999999,70.93542,31.6210000000089
"04-19",39.30441487,44.8825627272717,43.8672299999955,67.3557999999978,30.7
"04-20",39.0557295199998,47.616537272728,47.0938000000004,68.0373400000033,32.5419999999955
"04-21",38.4509548700001,47.0703563636351,47.8919999999997,82.1654799999978,31.0069999999955
"04-22",38.6627818,46.1326109090915,42.82957,84.59692,35.6120000000067
"04-23",39.8907879400002,47.8266927272739,45.1320700000022,79.7555300000022,31.9279999999989
"04-24",41.9476817999999,51.6343299999993,48.1069000000002,93.9542799999978,29.7789999999911
"04-25",42.8318510100002,50.461310909092,51.9136999999996,83.20621,33.1560000000089
"04-26",43.8541548699997,49.0438081818169,45.7429999999989,82.35582,34.1107699999983
"04-27",40.28373259,48.9056581818181,43.1273600000011,66.27823,32.8489999999994
"04-28",42.7979551400002,48.8492818181818,44.515,65.0041800000034,34.5098700000045
"04-29",45.32124033,51.3859390909101,52.76409,75.90882,33.1560000000006
"04-30",47.38424349,54.871505454544,51.9382599999978,93.1837099999955,35.6365599999983
"05-01",52.3278429999998,51.3546809090916,41.1441399999978,87.5871000000045,33.77
"05-02",51.9290653500002,53.5974554545458,46.9710000000006,93.8928799999989,34.6909999999978
"05-03",45.74200532,56.3660372727262,53.8447299999999,98.4733199999966,30.3930000000045
"05-04",46.0673577799999,59.0913600000008,58.9440000000022,91.3662700000022,33.1559999999978
"05-05",49.0189018299999,62.9059745454537,57.1020000000011,107.499120000002,38.375
"05-06",47.8644958700001,65.466354545456,67.6873599999997,98.4579699999967,38.6820000000067
"05-07",50.0196972700002,61.7296063636352,62.3117899999989,85.0267199999989,38.6482299999978
"05-08",54.2246332899998,56.1251818181819,53.1109999999992,92.4868199999967,33.77
"05-09",47.47620841,57.2234045454538,50.0409999999978,92.50217,34.3840000000022
"05-10",43.6358441000002,60.3324772727279,54.9867700000017,93.0486300000045,36.2259999999978
"05-11",37.7509703099997,56.0520600000008,51.4317099999933,78.0608900000034,40.2170000000067
"05-12",43.2155150500003,52.4735563636359,50.7777999999978,71.3161000000014,32.6954999999978
"05-13",49.2876526999999,54.0621418181813,53.1079299999989,79.4822999999982,33.33099
"05-14",49.5609195400002,60.0235236363638,54.4648699999933,89.3370000000011,35.5905100000011
"05-15",47.2493016399998,59.2582563636375,54.0596300000089,86.7981100000002,35.305
"05-16",45.05440821,61.6207609090895,58.1058899999978,88.0813699999999,41.1379999999989
"05-17",46.0861032000001,64.9642700000005,62.9595600000022,99.3206399999989,43.7597800000022
"05-18",42.9708759599999,64.564611818182,62.935,98.7987400000012,38.7710300000006
"05-19",43.8702999999999,60.357874545454,53.2798499999955,98.4395499999978,39.2959999999992
"05-20",52.7119000000002,63.2327899999998,54.6459999999978,117.765200000001,40.64987
"05-21",59.2509999999999,61.4362818181826,58.6124399999999,108.113120000001,35.1852700000067
"05-22",47.1552,66.833341818182,59.4198500000089,112.687420000003,39.3512599999933
"05-23",45.9272000000001,63.9762881818184,60.5711,103.670830000001,41.1472100000067
"05-24",57.5931999999996,62.2941483845456,60.38076,88.82124,42.4826599999933
"05-25",65.1761,64.1883766199992,65.1239099999911,99.4004599999978,39.7902700000045
"05-26",68.8724444700005,68.9292553781825,64.88752,105.307140000002,46.2065699999955
"05-27",68.8171414899998,70.23568131909,64.9765499999978,103.311639999998,44.06678
"05-28",71.7301570399997,74.6827736363635,75.3132399999911,97.4233800000019,50.3111600000067
"05-29",75.58546918,74.4809909090921,75.4636700000005,104.601040000004,44.0729199999955
"05-30",59.8581753900001,73.8882018181814,66.8676699999989,115.984599999999,40.0512199999955
"05-31",43.7067396099999,77.4516345454545,74.7084500000001,104.152819999999,57.5502200000022
"06-01",NA,85.3233936363643,82.5891399999955,106.8053,60.7246000000089
"06-02",NA,87.196651818182,81.0480000000045,120.442240000001,66.7878499999955
"06-03",NA,87.6175209090908,86.1135000000022,110.136249999998,69.45568
"06-04",NA,88.9803218181815,87.0314299999994,114.630729999997,54.78108
"06-05",NA,89.0124172727266,89.5826000000011,117.866509999998,56.9484999999978
"06-06",NA,91.267192727272,93.3218599999994,124.35956,57.44584
"06-07",NA,88.9669254545464,89.12517,109.061750000002,49.11386
"06-08",NA,95.6723636363631,96.11249,141.361219999999,56.1134599999955
"06-09",NA,86.2622554545453,84.425,123.40786,60.8320500000044
"06-10",NA,94.4906927272732,93.6841199999988,129.62461,62.19206
"06-11",NA,94.534230909091,94.4424099999977,120.8966,57.78047
"06-12",NA,92.4870990909101,97.7457299999989,126.180070000003,45.66932
"06-13",NA,95.2001418181809,97.1071699999956,134.162069999999,44.3676399999983
"06-14",NA,92.5353818181812,94.1568999999978,121.756199999998,52.6013800000022
"06-15",NA,99.2441690909093,107.35176,125.559930000003,51.84923
"06-16",NA,99.2522627272739,103.265590000007,119.754560000001,59.7606199999911
"06-17",NA,99.4702327272713,100.895549999996,128.574669999998,51.34882
"06-18",NA,95.8247472727274,96.7203500000002,132.433659999998,72.7160200000045
"06-19",NA,95.9748981818182,100.73284,129.250069999999,72.4581400000022
"06-20",NA,98.0114245454552,99.8241200000045,122.115389999999,72.7712800000022
"06-21",NA,99.182210909091,98.49788,116.402120000002,79.70948
"06-22",NA,103.968061818183,109.221390000007,133.293260000002,65.65502
"06-23",NA,101.200038181817,103.320849999999,135.27955,56.8103499999997
"06-24",NA,101.092309090909,98.2031599999955,129.314539999996,75.6447999999955
"06-25",NA,103.531005454545,101.110450000001,134.6502,81.7602399999933
"06-26",NA,108.534268181819,110.566049999999,133.265630000003,90.9579600000067
"06-27",NA,108.993093636364,109.678820000002,132.909509999997,82.3496799999994
"06-28",NA,110.643358181818,112.159380000001,124.215270000003,92.0631599999933
"06-29",NA,113.249229999998,114.96843,130.628499999999,98.6452399999955
"06-30",NA,107.851053636365,105.859740000002,130.342989999998,92.61883
"07-01",NA,108.985000000001,106.6825,132.608650000001,87.72832
"07-02",NA,106.956567272726,111.296710000002,130.51798,69.7780299999955
"07-03",NA,108.561898181818,107.88901,130.404389999999,78.1468499999955
"07-04",NA,113.814389090909,115.078949999993,134.591870000002,94.12927
"07-05",NA,102.314169090909,110.369570000004,117.1205,73.7751699999999
"07-06",NA,104.552757272727,107.397809999998,126.870820000001,75.1229000000004
"07-07",NA,102.19164818182,109.448570000002,129.54479,71.7428300000011
"07-08",NA,98.4613190909078,98.8509300000001,141.926099999998,61.6517399999978
"07-09",NA,98.4020680909092,105.350119999996,129.018899000001,64.2244000000022
"07-10",NA,106.286135090909,114.45881,133.370009999998,69.8578499999978
"07-11",NA,109.46601318182,110.553770000003,138.025664999999,72.4274400000022
"07-12",NA,104.045146727273,105.221180000001,131.132594,61.8942700000011
"07-13",NA,104.493143454544,105.96105,134.264608,59.0084699999978
"07-14",NA,102.143616636365,106.676359999999,129.861,56.44502
"07-15",NA,100.542499999999,108.42012,129.587769999993,61.7868199999978
"07-16",NA,99.7312385454557,104.760679999998,132.584703999998,59.1589000000045
"07-17",NA,102.616982727271,107.55745,131.982369999993,70.51176
"07-18",NA,107.521000727273,109.798549999998,130.178438,77.1705899999978
"07-19",NA,110.304346454546,109.580579999996,128.234821000002,86.1595500000033
"07-20",NA,110.961979527273,106.86363,139.9684838,76.1022299999955
"07-21",NA,108.209051918182,107.944270000002,131.638837,78.7915500000044
"07-22",NA,110.9014782,110.940589999998,129.562166200002,91.5965200000006
"07-23",NA,109.858080090909,107.296500000001,123.757840000001,98.3934999999978
"07-24",NA,112.584156363636,112.533920000002,132.848109999999,75.5404199999967
"07-25",NA,108.997112545454,109.830478000001,124.93672,95.1577200000022
"07-26",NA,105.563624545454,108.536779999999,122.990339999999,72.6362000000011
"07-27",NA,107.384134545454,110.602889999996,129.6461,84.1179999999978
"07-28",NA,104.796347818184,110.63052,120.546006000001,74.9172100000034
"07-29",NA,102.466357363634,106.185160000001,119.384011,73.7383299999978
"07-30",NA,105.603227545455,106.888189999999,128.85404,56.7520199999978
"07-31",NA,104.172105181818,110.080989999993,127.43877,56.5432600000022
